"state","county","county_name","county_fips5","R","county_groups"
"AK","AK, Aleutians East Borough","Aleutians East Borough","02013","","county_group_29"
"AK","AK, Aleutians West Census Area","Aleutians West Census Area","02016","","county_group_29"
"AK","AK, Anchorage Municipality","Anchorage Municipality","02020","","independent_county_AK, Anchorage Municipality"
"AK","AK, Bethel Census Area","Bethel Census Area","02050","","county_group_29"
"AK","AK, Bristol Bay Borough","Bristol Bay Borough","02060","","county_group_29"
"AK","G020630","Chugach Census Area","02063","","independent_county_G020630"
"AK","G020660","Copper River Census Area","02066","","independent_county_G020660"
"AK","AK, Denali Borough","Denali Borough","02068","","county_group_536"
"AK","AK, Dillingham Census Area","Dillingham Census Area","02070","","county_group_29"
"AK","AK, Fairbanks North Star Borough","Fairbanks North Star Borough","02090","","county_group_536"
"AK","AK, Haines Borough","Haines Borough","02100","","county_group_536"
"AK","AK, Hoonah-Angoon Census Area","Hoonah-Angoon Census Area","02105","","county_group_29"
"AK","AK, Juneau City and Borough","Juneau City and Borough","02110","","county_group_536"
"AK","AK, Kenai Peninsula Borough","Kenai Peninsula Borough","02122","","county_group_457"
"AK","AK, Ketchikan Gateway Borough","Ketchikan Gateway Borough","02130","","county_group_536"
"AK","AK, Kodiak Island Borough","Kodiak Island Borough","02150","","county_group_29"
"AK","AK, Kusilvak Census Area","Kusilvak Census Area","02158","","county_group_29"
"AK","AK, Lake and Peninsula Borough","Lake and Peninsula Borough","02164","","county_group_29"
"AK","AK, Matanuska-Susitna Borough","Matanuska-Susitna Borough","02170","","county_group_457"
"AK","AK, Nome Census Area","Nome Census Area","02180","","county_group_29"
"AK","AK, North Slope Borough","North Slope Borough","02185","","county_group_29"
"AK","AK, Northwest Arctic Borough","Northwest Arctic Borough","02188","","county_group_29"
"AK","AK, Petersburg Borough","Petersburg Borough","02195","","county_group_29"
"AK","G021980","Prince of Wales-Hyder Census Area","02198","","independent_county_G021980"
"AK","AK, Sitka City and Borough","Sitka City and Borough","02220","","county_group_29"
"AK","AK, Skagway Municipality","Skagway Municipality","02230","","county_group_536"
"AK","AK, Southeast Fairbanks Census Area","Southeast Fairbanks Census Area","02240","","county_group_536"
"AK","AK, Valdez-Cordova Census Area","","02261","","county_group_536"
"AK","AK, Wrangell City and Borough","Wrangell City and Borough","02275","","county_group_29"
"AK","AK, Yakutat City and Borough","Yakutat City and Borough","02282","","county_group_29"
"AK","AK, Yukon-Koyukuk Census Area","Yukon-Koyukuk Census Area","02290","","county_group_29"
"AL","G0100010","Autauga County","01001","AL","county_group_146"
"AL","G0100030","Baldwin County","01003","AL","independent_county_G0100030"
"AL","G0100050","Barbour County","01005","AL","county_group_474"
"AL","G0100070","Bibb County","01007","AL","county_group_71"
"AL","G0100090","Blount County","01009","AL","county_group_477"
"AL","G0100110","Bullock County","01011","AL","county_group_474"
"AL","G0100130","Butler County","01013","AL","county_group_377"
"AL","G0100150","Calhoun County","01015","AL","independent_county_G0100150"
"AL","G0100170","Chambers County","01017","AL","county_group_545"
"AL","G0100190","Cherokee County","01019","AL","county_group_478"
"AL","G0100210","Chilton County","01021","AL","county_group_545"
"AL","G0100230","Choctaw County","01023","AL","county_group_208"
"AL","G0100250","Clarke County","01025","AL","county_group_208"
"AL","G0100270","Clay County","01027","AL","county_group_478"
"AL","G0100290","Cleburne County","01029","AL","county_group_478"
"AL","G0100310","Coffee County","01031","AL","county_group_377"
"AL","G0100330","Colbert County","01033","AL","county_group_0"
"AL","G0100350","Conecuh County","01035","AL","county_group_208"
"AL","G0100370","Coosa County","01037","AL","county_group_545"
"AL","G0100390","Covington County","01039","AL","county_group_377"
"AL","G0100410","Crenshaw County","01041","AL","county_group_377"
"AL","G0100430","Cullman County","01043","AL","county_group_201"
"AL","G0100450","Dale County","01045","AL","county_group_381"
"AL","G0100470","Dallas County","01047","AL","county_group_71"
"AL","G0100490","DeKalb County","01049","AL","county_group_562"
"AL","G0100510","Elmore County","01051","AL","county_group_146"
"AL","G0100530","Escambia County","01053","AL","county_group_208"
"AL","G0100550","Etowah County","01055","AL","independent_county_G0100550"
"AL","G0100570","Fayette County","01057","AL","county_group_555"
"AL","G0100590","Franklin County","01059","AL","county_group_0"
"AL","G0100610","Geneva County","01061","AL","county_group_381"
"AL","G0100630","Greene County","01063","AL","county_group_71"
"AL","G0100650","Hale County","01065","AL","county_group_71"
"AL","G0100670","Henry County","01067","AL","county_group_381"
"AL","G0100690","Houston County","01069","AL","county_group_381"
"AL","G0100710","Jackson County","01071","AL","county_group_562"
"AL","G0100730","Jefferson County","01073","AL","independent_county_G0100730"
"AL","G0100750","Lamar County","01075","AL","county_group_555"
"AL","G0100770","Lauderdale County","01077","AL","county_group_0"
"AL","G0100790","Lawrence County","01079","AL","county_group_515"
"AL","G0100810","Lee County","01081","AL","independent_county_G0100810"
"AL","G0100830","Limestone County","01083","AL","county_group_327"
"AL","G0100850","Lowndes County","01085","AL","county_group_146"
"AL","G0100870","Macon County","01087","AL","county_group_474"
"AL","G0100890","Madison County","01089","AL","county_group_327"
"AL","G0100910","Marengo County","01091","AL","county_group_71"
"AL","G0100930","Marion County","01093","AL","county_group_555"
"AL","G0100950","Marshall County","01095","AL","independent_county_G0100950"
"AL","G0100970","Mobile County","01097","AL","independent_county_G0100970"
"AL","G0100990","Monroe County","01099","AL","county_group_208"
"AL","G0101010","Montgomery County","01101","AL","county_group_146"
"AL","G0101030","Morgan County","01103","AL","county_group_515"
"AL","G0101050","Perry County","01105","AL","county_group_71"
"AL","G0101070","Pickens County","01107","AL","county_group_487"
"AL","G0101090","Pike County","01109","AL","county_group_474"
"AL","G0101110","Randolph County","01111","AL","county_group_478"
"AL","G0101130","Russell County","01113","AL","county_group_474"
"AL","G0101150","St. Clair County","01115","AL","county_group_477"
"AL","G0101170","Shelby County","01117","AL","independent_county_G0101170"
"AL","G0101190","Sumter County","01119","AL","county_group_71"
"AL","G0101210","Talladega County","01121","AL","county_group_478"
"AL","G0101230","Tallapoosa County","01123","AL","county_group_545"
"AL","G0101250","Tuscaloosa County","01125","AL","county_group_487"
"AL","G0101270","Walker County","01127","AL","county_group_555"
"AL","G0101290","Washington County","01129","AL","county_group_208"
"AL","G0101310","Wilcox County","01131","AL","county_group_208"
"AL","G0101330","Winston County","01133","AL","county_group_201"
"AR","G0500010","Arkansas County","05001","AR","county_group_163"
"AR","G0500030","Ashley County","05003","AR","county_group_234"
"AR","G0500050","Baxter County","05005","AR","county_group_21"
"AR","G0500070","Benton County","05007","AR","independent_county_G0500070"
"AR","G0500090","Boone County","05009","AR","county_group_21"
"AR","G0500110","Bradley County","05011","AR","county_group_234"
"AR","G0500130","Calhoun County","05013","AR","county_group_573"
"AR","G0500150","Carroll County","05015","AR","county_group_21"
"AR","G0500170","Chicot County","05017","AR","county_group_234"
"AR","G0500190","Clark County","05019","AR","county_group_368"
"AR","G0500210","Clay County","05021","AR","county_group_248"
"AR","G0500230","Cleburne County","05023","AR","county_group_206"
"AR","G0500250","Cleveland County","05025","AR","county_group_234"
"AR","G0500270","Columbia County","05027","AR","county_group_573"
"AR","G0500290","Conway County","05029","AR","county_group_396"
"AR","G0500310","Craighead County","05031","AR","county_group_248"
"AR","G0500330","Crawford County","05033","AR","county_group_409"
"AR","G0500350","Crittenden County","05035","AR","county_group_582"
"AR","G0500370","Cross County","05037","AR","county_group_433"
"AR","G0500390","Dallas County","05039","AR","county_group_573"
"AR","G0500410","Desha County","05041","AR","county_group_234"
"AR","G0500430","Drew County","05043","AR","county_group_234"
"AR","G0500450","Faulkner County","05045","AR","county_group_473"
"AR","G0500470","Franklin County","05047","AR","county_group_294"
"AR","G0500490","Fulton County","05049","AR","county_group_206"
